Lisman,Town,Choctaw,Alabama
Littleville,Town,Colbert,Alabama
Livingston,City,Sumter,Alabama
Loachapoka,Town,Lee,Alabama
Lockhart,Town,Covington,Alabama
Locust Fork,Town,Blount,Alabama
Lookout Mountain,Census-Designated Place,Etowah,Alabama
Louisville,Town,Barbour,Alabama
Lowndesboro,Town,Lowndes,Alabama
Loxley,Town,Baldwin,Alabama
Luverne,City,Crenshaw,Alabama
Lynn,Town,Winston,Alabama
Macedonia,Census-Designated Place,Pickens,Alabama
Madison,City,"14,624",Alabama
Madrid,Town,Houston,Alabama
Magnolia Springs,Town,Baldwin,Alabama
Malcolm,Census-Designated Place,Washington,Alabama
Malvern,Town,Geneva,Alabama
Maplesville,Town,Chilton,Alabama
Marbury,Census-Designated Place,Autauga,Alabama
Margaret,Town,St. Clair,Alabama
Marion,City,Perry,Alabama
Maytown,Town,Jefferson,Alabama
McDonald Chapel,Census-Designated Place,Jefferson,Alabama
McIntosh,Town,Washington,Alabama
McKenzie,Town,590,Alabama
McMullen,Town,Pickens,Alabama
Meadowbrook,Census-Designated Place,Shelby,Alabama
Megargel,Census-Designated Place,Monroe,Alabama
Memphis,Town,Pickens,Alabama
Mentone,Town,DeKalb,Alabama
Meridianville,Census-Designated Place,Madison,Alabama
Midfield,City,Jefferson,Alabama
Midland City,Town,Dale,Alabama
Midway,Town,Bullock,Alabama
Mignon,Census-Designated Place,Talladega,Alabama
Millbrook,City,...,Alabama
Millerville,Census-Designated Place,Clay,Alabama
Millport,Town,Lamar,Alabama
Millry,Town,Washington,Alabama
Minor,Census-Designated Place,Jefferson,Alabama
Mobile,City,Mobile,Alabama
Monroeville,City,Monroe,Alabama
Montevallo,City,Shelby,Alabama
Montgomery,City,Montgomery,Alabama
Moody,City,St. Clair,Alabama
Moores Mill,Census-Designated Place,Madison,Alabama
Mooresville,Town,Limestone,Alabama
Morris,Town,Jefferson,Alabama
Morrison Crossroads,Census-Designated Place,Randolph,Alabama
Mosses,Town,Lowndes,Alabama
Moulton,City,Lawrence,Alabama
Moundville,Town,"1,375",Alabama
Mount Olive,Census-Designated Place,Coosa,Alabama
Mount Olive,Census-Designated Place,Jefferson,Alabama
Mount Vernon,Town,Mobile,Alabama
Mountain Brook,City,Jefferson,Alabama
Movico,Census-Designated Place,Mobile,Alabama
Mulga,Town,Jefferson,Alabama
Munford,Town,Talladega,Alabama
Muscle Shoals,City,Colbert,Alabama
Myrtlewood,Town,Marengo,Alabama
Nanafalia,Census-Designated Place,Marengo,Alabama
Nances Creek,Census-Designated Place,Calhoun,Alabama
Napier Field,Town,Dale,Alabama
